"","Name","subSector","marketCap","closePrice","PERatio"
"1","Reliance Industries LtdRELIANCE","Oil & Gas - Refining & Marketing","17,82,202.58","2,633.00","29.36"
"2","Tata Consultancy Services LtdTCS","IT Services & Consulting","12,44,644.62","3,401.55","32.47"
"3","HDFC Bank LtdHDFCBANK","Private Banks","8,25,429.67","1,485.15","21.69"
"4","Infosys LtdINFY","IT Services & Consulting","6,68,633.68","1,594.10","30.24"
"5","Hindustan Unilever LtdHINDUNILVR","FMCG - Household Products","6,09,707.18","2,594.95","68.67"
"6","ICICI Bank LtdICICIBANK","Private Banks","6,08,485.56","874.40","24.23"
"7","State Bank of IndiaSBIN","Public Banks","4,73,628.52","530.70","13.39"
"8","Housing Development Finance Corporation LtdHDFC","Home Financing","4,45,706.35","2,456.40","19.73"
"9","Bajaj Finance LtdBAJFINANCE","Consumer Finance","4,41,238.23","7,309.40","62.78"
"10","Life Insurance Corporation Of IndiaLICI","Insurance","4,31,617.84","682.40","104.64"
"11","Bharti Airtel LtdBHARTIARTL","Telecom Services","4,02,152.21","709.70","94.52"
"12","Adani Transmission LtdADANITRANS","Power Infrastructure","3,94,393.59","3,535.60","327.40"
"13","ITC LtdITC","FMCG - Tobacco","3,81,960.88","308.55","25.06"
"14","Adani Total Gas LtdATGL","Gas Distribution","3,76,728.95","3,425.40","739.55"
"15","Kotak Mahindra Bank LtdKOTAKBANK","Private Banks","3,66,073.16","1,841.20","30.28"
"16","Adani Green Energy LtdADANIGREEN","Renewable Energy","3,44,685.47","2,176.00","704.88"
"17","Asian Paints LtdASIANPAINT","Paints","3,28,676.01","3,427.85","108.45"
"18","Adani Enterprises LtdADANIENT","Commodities Trading","3,26,559.02","2,864.55","420.52"
"19","Avenue Supermarts LtdDMART","Retail - Department Stores","2,80,920.45","4,336.70","188.22"
"20","Maruti Suzuki India LtdMARUTI","Four Wheelers","2,62,785.49","8,699.20","67.74"
